id_properti,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,jumlah_lantai,usia_bangunan,jarak_pusat_kota,kondisi_bangunan,tipe_properti,garasi,kota,harga_jual
PROP-1502,111.0,94.0,3,3,3,33.0,20.9,Buruk,Villa,1,Bandung,356.3
PROP-2587,116.0,71.0,3,3,3,19.0,23.9,Cukup,Rumah,1,Bandung,288.9
PROP-2654,678.0,309.0,2,1,2,32.0,5.3,Cukup,Rumah,1,Bandung,2024.1
PROP-1056,475.0,364.0,3,2,2,9.0,1.9,Cukup,Rumah,1,Surabaya,2197.9
PROP-0706,565.0,332.0,2,2,1,27.0,2.6,Buruk,Rumah,1,Bandung,1700.7
PROP-0107,703.0,324.0,5,4,2,20.0,27.4,Buruk,Villa,1,Surabaya,3003.7
PROP-0590,397.0,190.0,2,2,2,34.0,19.7,Cukup,Villa,0,Jakarta,2422.3
PROP-2469,63.0,52.0,2,1,1,36.0,29.7,Baik,Townhouse,0,Jakarta,150.0
PROP-2414,331.0,194.0,5,4,2,38.0,4.2,Cukup,Townhouse,0,Jakarta,2348.2
PROP-1601,75.0,53.0,2,1,1,6.0,23.1,Cukup,Rumah,0,Bandung,150.0
PROP-2465,576.0,448.0,3,2,3,37.0,7.5,Baik,Rumah,0,Surabaya,2130.8
PROP-0229,190.0,150.0,2,2,3,,7.2,Baik,Villa,1,Jakarta,1689.8
PROP-0916,,223.0,1,1,1,19.0,8.5,Cukup,Rumah,0,Surabaya,1053.9
PROP-0795,320.0,210.0,5,4,3,30.0,29.2,Cukup,Rumah,1,Semarang,785.9
PROP-3022,418.0,346.0,2,2,2,3.0,20.0,Cukup,Rumah,1,Bandung,1688.6
PROP-3544,324.0,246.0,3,2,2,29.0,23.1,Cukup,Rumah,1,Jakarta,2012.0
PROP-1074,677.0,614.0,4,3,1,15.0,5.1,Baik,Rumah,1,Surabaya,2983.1
PROP-3352,458.0,369.0,3,2,2,8.0,2.6,,Rumah,1,Semarang,1507.5
PROP-1745,408.0,343.0,4,4,1,32.0,23.7,Buruk,Rumah,1,Jakarta,2513.4
PROP-1085,,190.0,3,2,2,8.0,16.4,Baik,Rumah,1,Surabaya,1030.0
PROP-0927,,334.0,2,1,1,37.0,18.0,Baik,Rumah,1,Surabaya,2033.0
PROP-3050,118.0,95.0,3,2,1,25.0,19.2,Cukup,Rumah,1,Jakarta,546.5
PROP-1118,493.0,264.0,3,2,1,3.0,11.6,Baik,Townhouse,1,Surabaya,2169.6
PROP-0643,544.0,453.0,4,3,3,3.0,16.3,Cukup,Villa,1,Medan,2594.9
PROP-4768,688.0,458.0,4,4,2,12.0,3.8,Baik,Rumah,1,Surabaya,2583.8
PROP-0502,505.0,301.0,3,3,2,7.0,10.5,Baik,Rumah,0,Medan,1397.6
PROP-4067,634.0,511.0,3,3,2,22.0,15.4,Cukup,Townhouse,1,Surabaya,3100.0
PROP-0334,222.0,166.0,3,3,1,4.0,11.1,Baik,Villa,0,Semarang,1155.2
PROP-4685,430.0,376.0,3,2,3,3.0,21.8,Buruk,Townhouse,1,Medan,1396.7
PROP-0487,498.0,341.0,3,3,1,15.0,17.1,Buruk,Townhouse,1,Semarang,1623.8
PROP-1963,116.0,102.0,4,3,2,,14.2,Baik,Rumah,1,Semarang,447.6
PROP-0394,199.0,105.0,4,3,1,10.0,2.0,Cukup,Rumah,1,Jakarta,1377.7
PROP-4843,155.0,119.0,3,3,2,,20.5,Cukup,Rumah,1,Medan,319.3
PROP-4867,321.0,276.0,6,4,1,11.0,2.4,Buruk,Rumah,1,Jakarta,2674.3
PROP-1756,343.0,218.0,3,2,2,2.0,4.6,Baik,Villa,1,Jakarta,3557.2
PROP-2516,786.0,619.0,3,3,1,3.0,2.3,Baik,Townhouse,1,Semarang,3126.8
PROP-3586,120.0,82.0,4,3,2,29.0,12.0,Baik,Rumah,0,Bandung,499.4
PROP-4316,780.0,595.0,2,2,2,6.0,20.5,Cukup,Rumah,1,Jakarta,4482.2
PROP-4967,182.0,87.0,5,4,1,5.0,15.6,Cukup,Townhouse,1,Jakarta,1075.0
PROP-2100,740.0,410.0,2,1,1,19.0,4.1,Baik,Rumah,1,Medan,2044.9
PROP-3600,64.0,48.0,6,4,1,9.0,3.8,Baik,Villa,1,Surabaya,965.0
PROP-4122,100.0,91.0,3,3,1,34.0,28.9,Baik,Rumah,1,Jakarta,285.2
PROP-0030,511.0,465.0,5,4,1,10.0,26.9,Baik,Rumah,0,Jakarta,3337.7
PROP-0066,483.0,355.0,3,3,1,29.0,25.1,Cukup,Townhouse,0,Jakarta,2559.7
PROP-0839,765.0,554.0,3,2,2,14.0,24.9,Baik,Townhouse,1,Bandung,2671.1
PROP-3907,178.0,163.0,2,1,2,14.0,1.4,Cukup,Townhouse,1,Medan,740.2
PROP-3774,259.0,179.0,3,2,1,14.0,4.2,Baik,Rumah,1,Surabaya,1060.4
PROP-4636,353.0,278.0,3,2,1,10.0,7.2,Cukup,Rumah,0,Semarang,1151.7
PROP-3162,503.0,278.0,2,2,1,40.0,0.9,Cukup,Rumah,0,Semarang,1299.3
PROP-2660,588.0,304.0,3,3,2,26.0,11.9,Buruk,Townhouse,1,Bandung,
PROP-4616,276.0,177.0,3,2,2,39.0,6.9,Baik,Villa,0,Semarang,1267.1
PROP-4629,297.0,219.0,3,3,1,18.0,27.2,Cukup,Rumah,0,Jakarta,
PROP-2452,71.0,40.0,4,3,1,37.0,11.9,Cukup,Rumah,1,Jakarta,366.7
PROP-2847,313.0,161.0,3,2,3,18.0,23.3,Baik,Townhouse,1,Jakarta,1829.2
PROP-1145,111.0,89.0,6,4,1,9.0,9.6,Cukup,Rumah,1,Surabaya,683.6
PROP-3079,608.0,416.0,5,4,3,27.0,13.1,Buruk,Rumah,1,Bandung,2191.7
PROP-1104,528.0,373.0,6,4,2,34.0,11.9,Baik,Rumah,1,Jakarta,3116.4
PROP-0169,614.0,376.0,4,4,2,5.0,29.5,Baik,Rumah,1,Medan,1570.1
PROP-1671,670.0,605.0,4,4,1,12.0,27.9,Cukup,Rumah,1,Surabaya,2847.6
PROP-2571,179.0,153.0,3,3,1,27.0,6.1,,Townhouse,1,Medan,720.0
PROP-2378,362.0,243.0,5,4,1,9.0,12.0,Baik,Townhouse,1,Surabaya,1589.7
PROP-4396,114.0,64.0,3,2,1,,17.2,Baik,Villa,1,Medan,425.5
PROP-4258,690.0,603.0,3,2,2,7.0,4.4,Baik,Rumah,0,Surabaya,2715.4
PROP-3863,279.0,130.0,5,4,2,8.0,29.8,Cukup,Rumah,0,Medan,587.4
PROP-0024,398.0,228.0,3,3,3,11.0,,Cukup,Villa,1,Medan,1374.4
PROP-2634,448.0,296.0,6,4,2,22.0,20.6,Cukup,Villa,1,Medan,1783.5
