feature,importance
nom__kota_Jakarta,0.32454568
num__luas_bangunan,0.14294903
nom__tipe_properti_Villa,0.10946639
num__luas_tanah,0.097889714
nom__tipe_properti_Rumah,0.082235135
nom__kota_Medan,0.05118975
nom__kota_Surabaya,0.044264603
nom__kota_Semarang,0.043372296
nom__kota_Bandung,0.043049008
nom__tipe_properti_Townhouse,0.01879095
num__jarak_pusat_kota,0.011978946
num__usia_bangunan,0.006736183
num__kamar_mandi,0.006073596
num__jumlah_lantai,0.005384711
num__kamar_tidur,0.0045869136
bin__garasi,0.003840639
ord__kondisi_bangunan,0.0036464601
